series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Age	Freq	Sex	Units	2014	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	86	72.38715553	-7.299281071	IOT	British Indian Ocean Territory	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	90	160.1584117	-9.622391719	SLB	Solomon Islands	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	90	160.1584117	-9.622391719	SLB	Solomon Islands	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	90	160.1584117	-9.622391719	SLB	Solomon Islands	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	90	160.1584117	-9.622391719	SLB	Solomon Islands	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	92	-64.63294223	18.42256578	VGB	British Virgin Islands	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	92	-64.63294223	18.42256578	VGB	British Virgin Islands	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	92	-64.63294223	18.42256578	VGB	British Virgin Islands	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	92	-64.63294223	18.42256578	VGB	British Virgin Islands	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	96	114.6288563	4.49736984	BRN	Brunei Darussalam	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	96	114.6288563	4.49736984	BRN	Brunei Darussalam	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	96	114.6288563	4.49736984	BRN	Brunei Darussalam	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	96	114.6288563	4.49736984	BRN	Brunei Darussalam	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	100	25.23763153	42.75731323	BGR	Bulgaria	1	18+	ANNUAL	FEMALE	NUMBER	433	2014	433		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	100	25.23763153	42.75731323	BGR	Bulgaria	2	<18Y	ANNUAL	MALE	NUMBER	12	2014	12		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	100	25.23763153	42.75731323	BGR	Bulgaria	3	18+	ANNUAL	MALE	NUMBER	17	2014	17		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	100	25.23763153	42.75731323	BGR	Bulgaria	4	<18Y	ANNUAL	FEMALE	NUMBER	29	2014	29		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	104	96.51752295	21.19332882	MMR	Myanmar	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	104	96.51752295	21.19332882	MMR	Myanmar	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	104	96.51752295	21.19332882	MMR	Myanmar	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	104	96.51752295	21.19332882	MMR	Myanmar	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	108	29.89080992	-3.366387428	BDI	Burundi	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	108	29.89080992	-3.366387428	BDI	Burundi	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	108	29.89080992	-3.366387428	BDI	Burundi	3	18+	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	108	29.89080992	-3.366387428	BDI	Burundi	4	<18Y	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	112	28.04940161	53.54193075	BLR	Belarus	1	18+	ANNUAL	FEMALE	NUMBER	69	2014	69		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	112	28.04940161	53.54193075	BLR	Belarus	2	<18Y	ANNUAL	MALE	NUMBER	2	2014	2		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	112	28.04940161	53.54193075	BLR	Belarus	3	18+	ANNUAL	MALE	NUMBER	16	2014	16		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	112	28.04940161	53.54193075	BLR	Belarus	4	<18Y	ANNUAL	FEMALE	NUMBER	10	2014	10		
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	116	104.922836	12.71163737	KHM	Cambodia	1	18+	ANNUAL	FEMALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	116	104.922836	12.71163737	KHM	Cambodia	2	<18Y	ANNUAL	MALE	NUMBER					
2017.Q2.G.01	VC_VAW_HMTRAF	Number of victims of human trafficking per 100,000 population	116	104.922836	12.71163737	KHM	Cambodia	3	18+	ANNUAL	MALE	NUMBER					
