series.release	series.code	series.description	geoAreaCode	X	Y	ISO3CD	geoAreaName	sliceId	Freq	Units	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	last.5.years.mean	latest.year	latest.value	latest.source	latest.nature
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	254	-53.23619089	3.922673437	GUF	French Guiana	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	258	-149.4052367	-17.67709294	PYF	French Polynesia	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	260	69.64849091	-49.6068576	ATF	French Southern Territories	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	262	42.18274707	11.56004161	DJI	Djibouti	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	266	11.78727747	-0.60687619	GAB	Gabon	1	ANNUAL	METONS	1.46	1.48	1.38	1.39	1.43	1.73	1.8	1.94	2	2.06	2.66	2.99	3.17	3.39	3.49	3.14	2014	3.49	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	268	43.3713615	42.04813028	GEO	Georgia	1	ANNUAL	METONS	4.63	3.38	2.82	3.02	3.2	4.06	4.52	5.45	4.67	5.29	4.99	5.95	6.61	6.69	7.72	6.392	2014	7.72	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	270	-15.39944785	13.45295927	GMB	Gambia	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	275	35.25694122	31.94347933	PSE	State of Palestine	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	276	10.3806066	51.08862743	DEU	Germany	1	ANNUAL	METONS	812.4	831.57	818.01	820.84	804.78	786.76	799.25	766.82	775.27	720.31	758.87	731.31	744.78	763.86	723.27	744.418	2014	723.27	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	288	-1.205623522	7.964825185	GHA	Ghana	1	ANNUAL	METONS	4.98	5.48	6.69	6.41	5.92	6.4	7.75	8.39	7.76	9.25	10.45	10.82	12.77	13.65	13.11	12.16	2014	13.11	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	292	-5.347561686	36.13895036	GIB	Gibraltar	1	ANNUAL	METONS	0.34	0.35	0.36	0.36	0.39	0.41	0.42	0.42	0.43	0.47	0.47	0.46	0.47	0.5	0.54	0.488	2014	0.54	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	296	-157.5643005	1.768837732	KIR	Kiribati	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	300	22.58307827	39.47301873	GRC	Greece	1	ANNUAL	METONS	87.98	90.1	90.34	93.9	93.54	95.21	94.15	97.96	94.4	90.21	83.42	82.17	77.04	68.89	65.88	75.48	2014	65.88	IEA/OECD CO2 emissions from fuel combustion, 2016	C
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	304	-41.39371316	74.75625681	GRL	Greenland	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	308	-61.68248568	12.11238395	GRD	Grenada	1	ANNUAL	METONS																				
2017.Q2.G.01	EN_ATM_CO2	Emissions of carbon dioxide	312	-61.64762115	16.14416917	GLP	Guadeloupe	1	ANNUAL	METONS																				
